tree,sentence,t1,t2,section,positive,neutral,negative
(S (SBAR (RB once) (WHADVP (WRB when)) (S (NP (PRP i)) (VP (VBD was) (ADJP (NP (CD six) (NNS years)) (JJ old))))) (NP (PRP i)) (VP (VBD saw) (SBAR (S (NP (NP (DT a) (JJ magnificent) (NN picture)) (PP (IN in) (NP (NP (DT a) (NN book)) (PP (IN about) (NP (DT the) (JJ primeval) (NN forest)))))) (VP (VBD called) (NP (JJ real) (NN life) (NNS stories))))))),once when i was six years old i saw a magnificent picture in a book about the primeval forest called real life stories,0.7282000000000011,8.339100000000002,0.0,0.5887178778648376,0.40183624625205994,0.009445883333683014
(S (NP (PRP it)) (VP (VBD showed) (NP (DT a) (NN boa) (NN constrictor)) (S (VP (VBG swallowing) (NP (DT a) (JJ wild) (NN animal)))))),it showed a boa constrictor swallowing a wild animal,9.432000000000002,12.4161,0.0,0.029001448303461075,0.6946442127227783,0.2763543725013733
(S (NP (RB here)) (VP (VBZ is) (NP (NP (DT a) (NN copy)) (PP (IN of) (NP (DT the) (NN drawing)))))),here is a copy of the drawing,13.343573135654523,14.463700000000005,0.0,0.0730430856347084,0.9029457569122314,0.024011196568608284
(S (NP (PRP it)) (VP (VBD said) (PP (IN in) (NP (DT the) (NN book))) (SBAR (SBAR (NP (NN boa) (NNS constrictors)) (VP (VP (VB swallow) (NP (NP (PRP$ their)) (NP (NN prey))) (ADVP (RB whole))) (PP (IN without) (VP (VBG chewing))))) (SBAR (SBAR (ADVP (RB then)) (SBAR (NP (PRP they)) (VP (VBP are) (RB not) (ADJP (JJ able) (S (VP (TO to) (VP (VB move)))))))) (SBAR (CC and) (SBAR (NP (PRP they)) (VP (VBP sleep) (PP (IN for) (NP (NP (DT the) (CD six) (NNS months)) (SBAR (NP (PRP it)) (VP (VP (VBZ takes)) (PP (IN for) (NP (NN digestion)))))))))))))),it said in the book boa constrictors swallow their prey whole without chewing then they are not able to move and they sleep for the six months it takes for digestion,16.02319784246096,26.3391,0.0,0.020516464486718178,0.5244068503379822,0.4550766944885254
(S (S (IN so) (S (NP (PRP i)) (VP (VP (VBD thought) (NP (DT a) (NN lot))) (PP (PP (IN about) (NP (NP (DT the) (NNS adventures)) (PP (IN of) (NP (DT the) (NN jungle))))))))) (S (CC and) (S (PP (IN in) (NP (NN turn))) (S (NP (PRP i)) (VP (VP (VBN managed) (PP (IN with) (NP (DT a) (NP (VBN colored) (NN pencil))))) (S (VP (TO to) (VP (VB make) (NP (NP (NP (PRP$ my)) (NP (JJ first) (NN drawing))) (NP (NP (PRP$ my)) (NP (NP drawing) (NN number) (NN one)))))))))))),so i thought a lot about the adventures of the jungle and in turn i managed with a colored pencil to make my first drawing my drawing number one,27.776765859930137,36.647400000000005,0.0,0.5377627015113831,0.45317280292510986,0.00906448345631361
(S (NP (PRP it)) (VP (VBD looked) (PP (IN like) (NP (DT this))))),it looked like this,37.3111,38.3256,0.0,0.062371205538511276,0.8495485186576843,0.0880802646279335
(S (S (NP (PRP i)) (VP (VBD showed) (NP (NP (PRP$ my)) (NP (NN masterpiece))) (PP (TO to) (NP (DT the) (NNS grownups))))) (CC and) (S (NP (PRP i)) (VP (VBD asked) (NP (PRP them)) (SBAR (IN if) (S (NP (NP (PRP$ my)) (NP (NN drawing))) (VP (VBD frightened) (NP (PRP them)))))))),i showed my masterpiece to the grownups and i asked them if my drawing frightened them,39.79091168901952,42.72879244144589,0.0,0.168869286775589,0.6858976483345032,0.14523304998874664
(S (NP (PRP they)) (VP (VBD answered) (NP (PRP me)) (SBAR (WHADVP (WRB why)) (S (VP (MD would) (ADVP (RB anyone)) (VP (VB be) (ADJP (VBN frightened) (PP (IN by) (NP (DT a) (NN hat)))))))))),they answered me why would anyone be frightened by a hat,44.589122081547984,48.0924,0.0,0.026928149163722992,0.5883750319480896,0.3846968710422516
(S (NP (NP (PRP$ my)) (NP (NN drawing))) (VP (VBD was) (RB not) (PP (IN of) (NP (DT a) (NN hat))))),my drawing was not of a hat,49.3151,50.6448,0.0,0.08170661330223083,0.7284024953842163,0.18989089131355286
(S (NP (PRP it)) (VP (VBD showed) (NP (DT a) (NN boa) (NN constrictor)) (S (VP (VBG digesting) (NP (DT an) (NN elephant)))))),it showed a boa constrictor digesting an elephant,51.5028498266976,54.2321,0.0,0.02936188504099846,0.8131246566772461,0.15751343965530396
(S (SBAR (NP (PRP i)) (SBAR (ADVP (RB then)) (VP (VBD drew) (NP (NP (DT the) (NN inside)) (PP (IN of) (NP (DT the) (NP (NN boa) (NN constrictor)))))))) (SBAR (RB so) (IN that) (S (NP (DT the) (NNS grownups)) (VP (MD could) (VP (VB understand)))))),i then drew the inside of the boa constrictor so that the grownups could understand,55.582778292700525,60.0927,0.0,0.13225893676280975,0.8226021528244019,0.045138951390981674
(S (NP (PRP they)) (ADVP (RB always)) (VP (VBP need) (S (VP (TO to) (VP (VB have) (NP (NP (NNS things)) (VP (VBN explained)))))))),they always need to have things explained,60.7366,62.6759,0.0,0.03601282462477684,0.5131672620773315,0.4508199393749237
(S (NP (NP (NP (PRP$ my)) (NP (NN drawing) (NN number))) (NP (CD two))) (VP (VBD looked) (PP (IN like) (NP (DT this))))),my drawing number two looked like this,63.803266246500016,65.973,0.0,0.07737722992897034,0.806207001209259,0.11641578376293182
(S (NP (DT the) (NNS grownups)) (VP (VBD advised) (S (NP (PRP me)) (VP (VP (TO to) (VP (VB leave) (PRT (RP aside)) (NP (NP (NP (NNS drawings)) (PP (IN of) (NP (NN boa) (NNS constrictors)))) (ADJP (JJ open) (CC or) (JJ closed))))) (CC and) (VP (TO to) (VP (VB apply) (NP (PRP myself)) (PP (RB instead) (PP (TO to) (NP (NP (NN geography) (NN history) (NN arithmetic)) (CC and) (NP (NN grammar))))))))))),the grownups advised me to leave aside drawings of boa constrictors open or closed and to apply myself instead to geography history arithmetic and grammar,67.2053,77.39099999999999,0.0,0.04973909631371498,0.73344886302948,0.21681207418441772
(S (ADVP (RB thus)) (NP (PRP i)) (VP (VBD abandoned) (PP (IN at) (NP (NP (DT the) (NN age)) (PP (IN of) (NP (CD six))))) (NP (NP (DT a) (JJ magnificent) (NN career)) (PP (IN as) (NP (DT a) (NN painter)))))),thus i abandoned at the age of six a magnificent career as a painter,78.839,83.17250000000001,0.0,0.05968821421265602,0.2775222063064575,0.6627895832061768
(S (NP (PRP i)) (VP (VBD was) (VP (VBN discouraged) (PP (PP (IN by) (NP (NP (DT the) (NN failure)) (PP (IN of) (NP (NP (PRP$ my)) (NP (NN drawing) (NN number) (NN one)))))) (CC and) (PP (IN of) (NP (NP (PRP$ my)) (NP (NN drawing) (NN number))) (NP (CD two))))))),i was discouraged by the failure of my drawing number one and of my drawing number two,83.85940058148609,88.6104,0.0,0.010241474956274033,0.10969588160514832,0.8800626993179321
(S (S (NP (NNS grownups)) (ADVP (RB never)) (VP (VBP understand) (NP (NN anything)) (PP (IN by) (NP (PRP themselves))))) (CC and) (S (NP (PRP it)) (VP (VBZ is) (ADJP (JJ tiresome) (PP (IN for) (NP (NNS children)))) (S (VP (TO to) (ADVP (RB always)) (VP (VB explain) (NP (NP (NNS things)) (PP (IN for) (NP (PRP them)))) (ADVP (RB again) (CC and) (RB again)))))))),grownups never understand anything by themselves and it is tiresome for children to always explain things for them again and again,89.74612230852199,96.3094,0.0,0.014933743514120579,0.16548603773117065,0.8195801973342896
(S (S (IN so) (NP (PRP i)) (VP (VBD had) (S (VP (TO to) (VP (VB choose) (NP (DT another) (NN profession))))))) (CC and) (S (NP (PRP i)) (VP (VBD learned) (S (VP (TO to) (VP (VB fly) (NP (NNS airplanes)))))))),so i had to choose another profession and i learned to fly airplanes,97.8504,101.3739,0.0,0.31669583916664124,0.6645883321762085,0.018715782091021538
(S (S (NP (PRP i)) (VP (VBD flew) (NP (DT a) (JJ little)) (PP (IN in) (NP (JJ many) (NNS places))) (PP (IN around) (NP (DT the) (NN world))))) (CC and) (S (NP (NN geography)) (PRN (S (NP (PRP it)) (VP (VBZ is) (ADJP (JJ true))))) (VP (VBZ has) (VP (VBN served) (S (NP (PRP me)) (ADVP (RB well))))))),i flew a little in many places around the world and geography it is true has served me well,102.4018,107.5305,0.0,0.8652492761611938,0.12790586054325104,0.0068448809906840324
(S (NP (PRP i)) (VP (MD could) (VP (VB recognize) (PP (IN at) (NP (JJ first) (NN glance) (NN china))) (PP (IN from) (NP (NN arizona)))))),i could recognize at first glance china from arizona,108.30832117603362,111.5683,0.0,0.17479011416435242,0.7973889708518982,0.027820847928524017
(S (NP (PRP it)) (VP (VBZ is) (ADJP (RB very) (JJ useful)) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP get) (VP (VBN lost) (PP (IN at) (NP (NN night))))))))),it is very useful if you get lost at night,112.00497014698894,114.057,0.0,0.6744617819786072,0.3052351772785187,0.020303089171648026
(S (NP (PRP i)) (VP (VBP have) (VP (VBN had) (PP (IN during) (NP (NP (NP (PRP$ my)) (NP (NN life))) (PP (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN contact)))) (IN with) (NP (NP (JJ many) (NNS persons)) (PP (IN of) (NP (NN consequence)))))))))),i have had during my life a lot of contact with many persons of consequence,115.1904,119.7332,0.0,0.048003409057855606,0.8343062996864319,0.11769025027751923
