tree,sentence,sentence_translated,t1,t2,section,positive,neutral,negative
(S (S (CS lorsque) (VN (CLS j') (V avais))) (NP (DET six) (NC ans)) (VN (CLS j') (V ai) (VPP vu)) (NP (DET une) (NC fois)) (NP (DET une) (ADJ magnifique) (NC image)) (PP (P dans) (NP (DET un) (NC livre) (PP (P sur) (NP (DET la) (NC forêt) (AP (ADJ vierge)) (Srel (NP (PROREL qui)) (VN (CLR s') (V appelait)) (PP (NP (NC histoires) (AP (ADJ vécues)))))))))),lorsque j avais six ans j ai vu une fois une magnifique image dans un livre sur la forêt vierge rel qui s appelait histoires vécues,when I was six years old I once saw a magnificent image in a book about the rel virgin forest called real stories,3.42,11.79,0.0,0.7378966808319092,0.2541680932044983,0.00793521385639906
(S (NP (PRO ça)) (VN (V représentait)) (NP (DET un) (NC serpent) (AP (ADJ boa)) (Srel (NP (PROREL qui)) (VN (V avalait)) (NP (DET un) (NC fauve))))),ça représentait un serpent boa rel qui avalait un fauve,it represented a boa rel snake which swallowed a beast,12.95,16.13,0.0,0.02934027649462223,0.5877240300178528,0.3829357326030731
(S (VN (V voilà)) (NP (DET la) (NC copie) (PP (P de) (NP (DET le) (NC dessin))))),voilà la copie de le dessin,here is the copy of the drawing,17.13,18.2,0.0,0.05761858820915222,0.9178146123886108,0.02456686459481716
(S (VN (CLS on) (V disait)) (PP (P dans) (NP (DET le) (NC livre) (Srel (NP (DET les) (NC serpents) (AP (ADJ boas))) (VN (V avalent)) (NP (DET leur) (NC proie) (AP (ADV tout) (ADJ entière))) (VPinf (P sans) (VN (CLO la) (VINF mâcher)) (ADV ensuite))))) (Sint (VN (CLS ils) (ADV ne) (V peuvent)) (ADV plus) (VPinf (VN (VINF bouger))) (COORD (CC et) (VN (CLS ils) (V dorment)) (PP (P pendant) (NP (DET les) (ADJ six) (NC mois) (PP (P de) (NP (DET leur) (NC digestion)))))))),on disait dans le livre rel les serpents boas avalent leur proie tout entière inf sans la mâcher ensuite int ils ne peuvent plus inf bouger et ils dorment pendant les six mois de leur digestion,it was said in the real book that boa snakes swallow their prey whole without chewing it then they can no longer move and they sleep during the six months of their digestion,19.53,30.38,0.0,0.01492322888225317,0.3922411799430847,0.5928356051445007
(S (VN (CLS j') (V ai)) (ADV alors) (VPpart (ADV beaucoup) (VPP réfléchi) (PP (P sur) (NP (DET les) (NC aventures) (PP (P de) (NP (DET la) (NC jungle)) (COORD (CC et) (PP (MWADV (P à) (DET mon) (N tour)))))))) (VN (CLS j') (V ai) (VPP réussi)) (PP (P avec) (NP (DET un) (NC crayon) (PP (P de) (NP (NC couleur))))) (VPinf (P à) (VN (VINF tracer)) (NP (DET mon) (ADJ premier) (NC dessin)) (NP (DET mon) (NC dessin) (MWN (N numéro) (ADJ 1))))),j ai alors part beaucoup réfléchi sur les aventures de la jungle et à mon tour j ai réussi avec un crayon de couleur inf à tracer mon premier dessin mon dessin numéro,I then thought a lot about the adventures of the jungle and in my turn I succeeded with an inf colored pencil in tracing my first drawing my number drawing,32.34096005282493,43.92,0.0,0.47371774911880493,0.5181364417076111,0.008145850151777267
(S (VN (CLS il) (V était)) (PP (P comme) (NP (PRO ça)))),il était comme ça,He was like that,45.08,45.95,0.0,0.09845514595508575,0.800468921661377,0.10107594728469849
(S (VN (CLS j') (V ai) (VPP montré)) (NP (DET mon) (MWN (N chef) (P d') (N oeuvre))) (PP (P à) (NP (DET les) (ADJ grandes) (NC personnes))) (COORD (CC et) (Sint (VN (CLS je) (CLO leur) (V ai) (VPP demandé)) (S (CS si) (NP (DET mon) (NC dessin)) (VN (CLO leur) (V faisait)) (NP (NC peur)))))),j ai montré mon chef d oeuvre à les grandes personnes et int je leur ai demandé  si mon dessin leur faisait peur,I showed my masterpiece to the adults and I asked them if my drawing scared them,47.58,52.92,0.0,0.22099794447422028,0.6864956617355347,0.09250646829605103
(S (VN (CLS elles) (CLO m') (V ont) (VPP répondu)) (S (ADVWH pourquoi) (NP (DET un) (NC chapeau)) (VN (V ferait) (CLS il)) (NP (NC peur)))),elles m ont répondu  pourquoi un chapeau ferait il peur,They told me why would a hat be scary?,54.51,57.75,0.0,0.025968726724386215,0.5367075800895691,0.4373236894607544
(S (NP (DET mon) (NC dessin)) (VN (ADV ne) (V représentait)) (ADV pas) (NP (DET un) (NC chapeau))),mon dessin ne représentait pas un chapeau,my drawing did not represent a hat,58.97,60.82,0.0,0.023372504860162735,0.42153191566467285,0.5550956130027771
(S (VN (CLS il) (V représentait)) (NP (DET un) (NC serpent) (AP (ADJ boa)) (Srel (NP (PROREL qui)) (VN (V digérait)) (NP (DET un) (NC éléphant))))),il représentait un serpent boa rel qui digérait un éléphant,it represented a boa rel snake which digested an elephant,61.5,64.58,0.0,0.02409636415541172,0.652469277381897,0.3234342932701111
(S (VN (CLS j') (V ai)) (ADV alors) (VPinf (VN (VINF dessiné)) (NP (DET l') (NC intérieur) (PP (P de) (NP (DET le) (NC serpent) (AP (ADJ boa)))))) (S (MWC (P afin) (C que)) (NP (DET les) (ADJ grandes) (NC personnes)) (VN (VS puissent)) (VPinf (VN (VINF comprendre))))),j ai alors inf dessiné l intérieur de le serpent boa  afin que les grandes personnes puissent inf comprendre,I then drew the inside of the snake boa  so that adults could understand,65.66,70.52,0.0,0.09841644018888474,0.8514583706855774,0.050125252455472946
(S (VN (CLS elles) (V ont) (ADV toujours)) (NP (NC besoin) (PP (P d') (VN (NC explications))))),elles ont toujours besoin d explications,they always need explanations,71.49,73.6,0.0,0.02025570347905159,0.30904754996299744,0.6706967353820801
(S (NP (DET mon) (NC dessin) (MWN (N numéro) (ADJ 2))) (VN (V était)) (PP (P comme) (NP (PRO ça)))),mon dessin numéro était comme ça,my number drawing was like this,74.65,76.69,0.0,0.05445200204849243,0.8216826319694519,0.12386534363031387
